Date,Transacciones/segundo,BTC-USD
2019-05-14,4.059374999999998,7978.01
2019-05-15,4.219687499999997,8180.425
2019-05-16,4.287890624999998,7875.1633
2019-05-17,4.114192708333329,7376.8533
2019-05-20,4.34791666666667,7995.965
2019-05-21,4.12614583333334,7945.045
2019-05-22,4.523307291666679,7623.5133
2019-05-23,4.2996093750000135,7875.9967
2019-05-24,4.28632812500001,7998.22
2019-05-28,4.332812500000006,8724.455
2019-05-29,4.50169270833334,8670.265
2019-05-30,4.342838541666676,8273.0117
2019-05-31,3.653776041666675,8544.97
2019-06-03,3.6329427083333394,8105.13
2019-06-04,3.902083333333339,7677.3983
2019-06-05,4.130989583333336,7785.985
2019-06-06,4.0359375,7806.715
2019-06-07,3.7915625,8001.2767
2019-06-10,3.975260416666664,8016.6917
2019-06-11,3.735026041666662,7913.8933
2019-06-12,3.742187499999993,8173.3567
2019-06-13,3.8826041666666598,8232.7533
2019-06-14,4.165755208333329,8693.765
2019-06-17,3.88893229166666,9340.25
2019-06-18,4.152994791666659,9083.8167
2019-06-19,4.331041666666659,9288.5367
2019-06-20,3.7945312499999906,9539.7883
2019-06-21,4.077734374999988,10232.9167
2019-06-24,4.339453124999985,11041.8533
2019-06-25,4.237083333333319,11752.6783
2019-06-26,4.870963541666652,12907.135
2019-06-27,4.054036458333315,11170.885
2019-06-28,3.766276041666648,12356.2783
2019-07-01,3.9838541666666516,10599.3267
2019-07-02,3.997135416666654,10850.4
2019-07-03,4.488020833333321,11976.6317
2019-07-05,4.057421874999994,10996.4267
2019-07-08,4.2240885416666565,12294.6567
2019-07-09,4.132161458333324,12563.215
2019-07-10,3.4076822916666596,12096.6533
2019-07-11,3.351822916666661,11345.7717
2019-07-12,3.6128124999999978,11789.3367
2019-07-15,3.8602864583333347,10842.4517
2019-07-16,4.093098958333334,9422.4517
2019-07-17,3.670182291666668,9692.7067
2019-07-18,3.3874999999999993,10636.91
2019-07-19,3.0351562499999987,10526.3917
2019-07-22,3.5602864583333313,10325.825
2019-07-23,3.3859374999999985,9849.82
2019-07-24,3.421744791666667,9771.5667
2019-07-25,3.6054687499999996,9882.1
2019-07-26,3.5720052083333327,9844.5583
2019-07-29,3.6546875000000005,9501.0317
2019-07-30,3.612890624999999,9588.6033
2019-07-31,4.153906249999999,10090.535
2019-08-01,3.7371093749999966,10405.2067
2019-08-02,3.9121093749999973,10526.2167
2019-08-05,3.954687500000004,11802.0167
2019-08-06,4.02005208333334,11467.1983
2019-08-07,4.423828125000007,11981.1517
2019-08-08,3.521354166666674,12010.8983
2019-08-09,3.6934895833333403,11868.7533
2019-08-12,3.7257812500000025,11396.5433
2019-08-13,3.9106770833333346,10875.3483
2019-08-14,3.956770833333334,10036.1867
2019-08-15,3.832291666666665,10307.895
2019-08-16,3.5052083333333313,10358.7683
2019-08-19,3.666015625,10924.965
2019-08-20,3.707421875000001,10776.9083
2019-08-21,3.421979166666668,10133.3483
2019-08-22,3.5355468750000028,10113.2
2019-08-23,3.812109375000003,10406.7433
2019-08-26,3.544270833333337,10365.1783
2019-08-27,3.6507291666666704,10177.9267
2019-08-28,3.853385416666671,9723.805
2019-08-29,3.7177083333333365,9500.6367
2019-08-30,3.8585937500000043,9588.0717
2019-09-03,4.114322916666672,10634.6433
2019-09-04,3.579817708333339,10583.6617
2019-09-05,3.9180989583333368,10580.27
2019-09-06,3.941276041666667,10308.0367
2019-09-09,3.6450520833333284,10314.9717
2019-09-10,3.7549479166666617,10107.7217
2019-09-11,3.6940104166666616,10164.0867
2019-09-12,3.6630208333333303,10433.5567
2019-09-13,3.4332291666666657,10372.5533
2019-09-16,3.876692708333332,10271.015
2019-09-17,3.823567708333332,10199.905
2019-09-18,3.962239583333334,10165.3267
2019-09-19,3.7993750000000004,10282.6567
2019-09-20,3.8102864583333345,10179.955
2019-09-23,3.347395833333336,9694.5067
2019-09-24,3.664453125000003,8538.105
2019-09-25,3.8126041666666723,8449.9167
2019-09-26,3.8723958333333397,8075.9667
2019-09-27,3.3356770833333416,8200.2833
2019-09-30,3.378645833333342,8316.8767
2019-10-01,3.738932291666674,8326.58
2019-10-02,3.653385416666674,8395.2183
2019-10-03,3.683984375000006,8246.5417
2019-10-04,3.7722656250000037,8161.3483
2019-10-07,3.680989583333336,8217.6333
2019-10-08,3.7479166666666734,8191.0717
2019-10-09,3.4378906250000085,8596.4533
2019-10-10,3.798307291666675,8590.3733
2019-10-11,3.8378906250000093,8272.395
2019-10-14,3.4023437500000067,8362.0733
2019-10-15,3.7657552083333425,8171.27
2019-10-16,3.670052083333344,8002.8483
2019-10-17,3.7272135416666803,8081.3133
2019-10-18,3.7273958333333495,7966.2667
2019-10-21,3.929817708333346,8221.3733
2019-10-22,3.819921875000012,8034.545
2019-10-23,3.804375000000012,7478.905
2019-10-24,3.345312500000013,7435.8467
2019-10-25,3.6824218750000113,8671.5083
2019-10-28,3.348229166666677,9223.2067
2019-10-29,3.4375000000000098,9437.585
2019-10-30,3.610807291666676,9170.285
2019-10-31,3.4842447916666766,9164.365
2019-11-01,3.362890625000009,9265.4317
2019-11-04,3.481770833333341,9424.185
2019-11-05,3.670312500000009,9326.6033
2019-11-06,3.463411458333343,9345.69
2019-11-07,3.4378906250000085,9205.8083
2019-11-08,3.48242187500001,8770.3617
2019-11-11,3.6585937500000094,8726.36
2019-11-12,3.4981770833333448,8820.2333
2019-11-13,3.3955729166666804,8775.1017
2019-11-14,3.8132291666666815,8639.1833
2019-11-15,3.5158854166666815,8471.2783
2019-11-18,3.488932291666684,8191.0667
