Date,Transacciones/segundo,BTC-USD
2019-12-16,3.753645833333335,6893.2367
2019-12-17,3.493489583333333,6633.3717
2019-12-18,3.471093750000002,7299.7367
2019-12-19,3.567812500000001,7161.965
2019-12-20,3.719531250000003,7198.785
2019-12-23,3.513671875000004,7324.495
2019-12-24,3.1812500000000044,7261.025
2019-12-26,3.434244791666674,7205.8033
2019-12-27,3.5190104166666747,7259.67
2019-12-30,3.499791666666675,7234.615
2019-12-31,3.1868489583333437,7182.4017
2020-01-02,3.3656250000000125,6961.5683
2020-01-03,3.5067708333333476,7346.58
2020-01-06,3.5123697916666807,7761.825
2020-01-07,3.768229166666681,8157.7617
2020-01-08,3.593619791666681,8042.8733
2020-01-09,3.5529947916666798,7816.9233
2020-01-10,3.6489583333333444,8189.265
2020-01-13,3.521875000000012,8105.4783
2020-01-14,3.777604166666679,8807.4267
2020-01-15,3.7571614583333455,8808.4867
2020-01-16,3.654817708333344,8716.9133
2020-01-17,3.5558333333333465,8890.25
2020-01-21,3.5321614583333436,8727.6033
2020-01-22,3.5887500000000108,8661.01
2020-01-23,3.7061197916666835,8392.145
2020-01-24,3.5986979166666835,8436.49
2020-01-27,3.4071614583333507,8901.5067
2020-01-28,3.552291666666684,9393.2733
2020-01-29,3.845833333333351,9290.46
2020-01-30,3.638151041666684,9508.725
2020-01-31,3.8369791666666866,9346.1333
2020-02-03,3.624270833333354,9291.6433
2020-02-04,3.673697916666687,9175.3367
2020-02-05,4.078125000000019,9613.4033
2020-02-06,3.682291666666682,9750.5467
2020-02-07,3.6976562500000147,9808.5967
2020-02-10,3.699479166666679,9852.7183
2020-02-11,3.92578125000001,10266.1
2020-02-12,3.7207031250000084,10347.9517
2020-02-13,3.74257812500001,10230.0783
2020-02-14,3.6027083333333465,10356.7567
2020-02-18,3.7242187500000137,10185.8767
2020-02-19,3.7906250000000132,9593.48
2020-02-20,3.5139583333333464,9607.31
2020-02-21,3.773177083333342,9695.5583
2020-02-24,3.6873697916666717,9664.6333
2020-02-25,3.8263020833333385,9313.92
2020-02-26,3.5444791666666733,8790.12
2020-02-27,3.902473958333343,8816.585
2020-02-28,4.153645833333345,8715.6617
2020-03-02,3.9200520833333434,8926.2517
2020-03-03,3.865208333333343,8768.18
2020-03-04,3.9399739583333453,8767.8867
2020-03-05,3.9515625000000125,9073.275
2020-03-06,3.758203125000014,9165.1517
2020-03-09,3.961588541666678,7944.45
2020-03-10,3.772656250000007,7899.2267
2020-03-11,3.452473958333336,7951.17
2020-03-12,3.742447916666669,4914.085
2020-03-13,2.829361979166671,5629.5767
2020-03-16,3.113151041666673,5043.6783
2020-03-17,2.864166666666674,5337.0933
2020-03-18,2.768750000000008,5411.6217
2020-03-19,3.0078125000000098,6180.27
2020-03-20,3.0436197916666785,6206.6117
2020-03-23,2.77906250000001,6492.94
2020-03-24,3.0432291666666784,6766.7817
2020-03-25,2.4958333333333433,6687.705
2020-03-26,3.071223958333346,6709.95
2020-03-27,3.0889322916666786,6698.73
2020-03-30,3.2190104166666793,6568.805
2020-03-31,3.2738281250000116,6449.95
2020-04-01,3.1770833333333446,6671.95
2020-04-02,3.4048177083333426,6833.05
2020-04-03,3.1523437500000107,6740.075
2020-04-06,3.402083333333344,7297.75
2020-04-07,3.3832031250000134,7360.37
2020-04-08,3.2490885416666804,7341.15
2020-04-09,3.2627604166666826,7314.95
2020-04-13,3.254687500000016,6763.065
2020-04-14,3.4079427083333504,6885.1
2020-04-15,3.470703125000016,6727.15
2020-04-16,3.5028125000000174,7055.8225
2020-04-17,3.3342447916666837,7086.85
2020-04-20,3.437500000000016,6896.31
2020-04-21,3.5462239583333504,6856.8
2020-04-22,3.3798958333333475,7137.85
2020-04-23,3.6567708333333435,7556.95
2020-04-24,3.540885416666677,7502.9
2020-04-27,3.4589843750000084,7674.375
2020-04-28,3.573229166666677,7724.15
2020-04-29,4.066406250000012,8273.45
2020-04-30,3.9885416666666798,8740.75
2020-05-01,3.475000000000014,8771.5725
2020-05-04,3.7828125000000163,8801.36
2020-05-05,3.7716145833333474,8900.3
2020-05-06,3.934375000000013,9248.9475
