Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
LAPIZ ROJO CARMIN MAE,RCM-10 ,MAE,4.97,"LAPIZ ROJO CARMIN MAE, MINA SUAVE, MODELO RCM10 ",https://henki.com.mx/erp/shared_resources/restore/103209zi51igjl.png
BOLIGRAFO PUNTO MEDIANO AZUL,DIAMANTE GRIP ,BIC,4.33,BOLIGRAFO PUNTO MEDIANO DIAMANTE GRIP AZUL BIC,https://henki.com.mx/erp/shared_resources/restore/1022a3zpihog0f.png
SOBRE BLANCO PARA INVITACION DE OPALINA,Sin Modelo,COPAMEX,2.28,SOBRE BLANCO TIPO CARTERA Y SOLAPA ENGOMADA PARA INVITACION EN PAPEL OPALINA DE 125 GRAMOS MEDIDA 17 X 22 CMS,https://henki.com.mx/erp/shared_resources/productos/2627.jpg
MARCATEXTOS AZUL VISION JUNIOR,2800AZ,AZOR,7.21,MARCATEXTOS AZUL VISION JUNIOR AZOR MODELO 2800AZ PUNTA DE CINCEL,https://henki.com.mx/erp/shared_resources/productos/164RE.png
SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES SIN PERFORACIONES KIP,SEPKIPC-05-GS,KIP,6.49,SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES SIN PERFORACIONES KIP,https://henki.com.mx/erp/shared_resources/productos/13674RE.png
NOTAS ADHESIVAS 2X2 CUBO PASTEL,6590202296,JANEL,18.26,"BLOCK DE NOTAS ADHESIVAS MEDIDA 51 MM X 51 MM (""2 X 2"") COLORES PASTEL MINI CUBO DE 400 HOJAS MEMO TIP",https://henki.com.mx/erp/shared_resources/productos/JAN-NOTADH-331.jpg
BOLIGRAFO SOFT GEL ROSA PELIKAN,30400611,PELIKAN,10.7,BOLIGRAFO SOFT GEL PELIKAN CON GRIP ERGONOMICO COLOR ROSA,https://henki.com.mx/erp/shared_resources/productos/PEL-BOLSOF-778.jpg
BROCHE PARA ARCHIVO 8 CM PEGASO,50M,PEGASO,37.38,BROCHE PARA ARCHIVO 8 CM PEGASO MODELO 308.50M CON 50 PIEZAS,https://henki.com.mx/erp/shared_resources/productos/AZO-BROPAR-609.jpg-.jpg
SEPARADORES KIP 12 DIVISIONES CON NUMERO,SEPKIP-12,KIP,28.66,SEPARADORES KIP 12 DIVISIONES MODELO SEPKIP12 CEJA DE COLOR CON NUMERO CON 1 JUEGO,https://henki.com.mx/erp/shared_resources/restore/10811z58s5vyqg.png
CINTA CORRECTORA SABONIS DE 8MTS ,948,SABONIS,21.34,CINTA CORRECTORA BLANCA SABONIS DE 5MM X 8 MTS MODELO 948,https://henki.com.mx/erp/shared_resources/productos/2569.jpg
