Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
FOLDER TAMAÑO CARTA COLOR CREMA ECOLOGICO,11417,BEROKY,1.52,FOLDER TAMAÑO CARTA EN CARTULINA DE 175 GRAMOS CON MEDIA CEJA Y PUNTAS RECTAS MEDIDAS 23.5 X 29.5 CMS BOLSA CON 100 PIEZAS COLOR CREMA (ECOLOGICO) BEROKY,https://henki.com.mx/erp/shared_resources/productos/64NOIMAGEN.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA CARTA,SOBMGK-CTA,KIP,2.27,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO CARTA MEDIDAS 23 X 30.5 CMS ,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1146.jpg-.jpg
SOBRE BLANCO PARA CORRESPONDENCIA CARTA SIN VENTANA,SOBBCO-CTA,KIP,0.56,SOBRE BLANCO PARA CORRESPONDENCIA CARTA 6 3/4 SIN VENTANA DE 90 GRAMOS MEDIDAS 9.2 X 16.4 CMS MODELO SOBBCO-CTA KYP,https://henki.com.mx/erp/shared_resources/productos/1241RE.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA EXTRA OFICIO,SOBMGK-OFI,KIP,2.85,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO EXTRA OFICIO MEDIDAS 26 X 34 CMS ,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1147.jpg-.jpg
BOLIGRAFO PUNTO MEDIANO AZUL,BOLEX,BOLEX,2.13,BOLIGRAFO PUNTO MEDIANO AZUL BOLEX,https://henki.com.mx/erp/shared_resources/restore/1007seu3h3xp92.png
BOLIGRAFO PUNTO FINO AZUL,BOLEX FINO,BOLEX,2.14,BOLIGRAFO PUNTO FINO AZUL BOLEX,https://henki.com.mx/erp/shared_resources/restore/10110c9kmjnn6n.png
FOLDER TAMAÑO OFICIO COLOR CREMA ECOLOGICO,11427,BEROKY,1.78,FOLDER TAMAÑO OFICIO EN CARTULINA DE 175 GRAMOS CON MEDIA CEJA Y PUNTAS RECTAS MEDIDAS 24.5 X 34.5 CMS BOLSA CON 100 PIEZAS COLOR CREMA (ECOLOGICO) BEROKY,https://henki.com.mx/erp/shared_resources/productos/65NOIMAGEN.png
BOLIGRAFO JOCAR MEDIANO AZUL,B12AH,JOCAR,1.77,"BOLIGRAFO JOCAR MEDIANO, COLOR AZUL, BARRIL TRIANGULAR, MODELO B12AH",https://henki.com.mx/erp/shared_resources/restore/10428lv2vszri1.png
BOLIGRAFO PUNTO MEDIANO ROJO,BOLEX,BOLEX,2.13,BOLIGRAFO PUNTO MEDIANO ROJO BOLEX,https://henki.com.mx/erp/shared_resources/restore/10093ydmsz6oyw.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA DOBLE CARTA,SOBMGK-LEG,KIP,4.23,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO DOBLE CARTA MEDIDAS 30.5 X 39.5 CMS MODELO SOBMGK-LEG KIP,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-1148.jpg-.jpg
SOBRE BOLSA CON RONDANA E HILO CARTA,SOBMRK-CTA,KIP,4.51,SOBRE BOLSA CON RONDANA E HILO PAPEL MANILA DE 105 GRAMOS TAMAÑO CARTA MEDIDAS 23 X 30.5 CMS MODELO SOBMRK-CTA KIP,https://henki.com.mx/erp/shared_resources/restore/1003uksvvrmsv4.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AZUL CLARO,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR AZUL CLARO MYP,https://henki.com.mx/erp/shared_resources/restore/1133rj2cemejxb.jpg
BOLIGRAFO PINT POINT PUNTO FINO AZUL,6810AZ,AZOR,3.48,BOLIGRAFO PUNTO FINO 0.7MM AZOR PUNTO DE AGUJA AZUL PIN POINT ,https://henki.com.mx/erp/shared_resources/restore/10076bv7ppvdi6.png
SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES,SEPKIPC-05-GS,KIP,6.49,SEPARADORES BRISTOL TAMAÑO CARTA 5 SEPARADORES SIN PERFORACIONES,https://henki.com.mx/erp/shared_resources/productos/LAZ-SEPBRI-1448.jpg-.jpg
FOLDER TAMAÑO CARTA COLOR AMARILLO,M750 1/2 YEL,OXFORD,1.84,FOLDER TAMAÑO CARTA EN CARTULINA DE 171 GRAMOS CON 1/2 CEJA Y PUNTAS REDONDEADAS CON DOBLE PERFORACION PARA BROCHE MEDIDAS 22 X 29.5 CMS CAJA CON 100 PIEZAS COLOR AMARILLO MODELO M7501/2YEL OXFORD,https://henki.com.mx/erp/shared_resources/productos/3724RE.png
CORDON PARA GAFETE NEGRO,CORDON,SIN MARCA,1.68,CORDON PARA GAFETE NEGRO TIPO AGUJETA,https://henki.com.mx/erp/shared_resources/restore/1010n9isyddd82.png
SOBRE BLANCO PARA CORRESPONDENCIA OFICIO SIN VENTANA,SOBBCO-OFI,KIP,0.81,SOBRE BLANCO PARA CORRESPONDENCIA OFICIO 10 SIN VENTANA DE 90 GRAMOS MEDIDAS 10.5 X 24 CMS MODELO SOBBCO-OFI KIP,https://henki.com.mx/erp/shared_resources/productos/2624RE.png
BOLIGRAFO PINT POINT PUNTO FINO NEGRO,6810NE,AZOR,3.48,BOLIGRAFO PUNTO FINO 0.7MM AZOR PUNTO DE AGUJA NEGRO PINT POINT ,https://henki.com.mx/erp/shared_resources/restore/10081acpvmxmv9.png
DEDAL DE HULE HERCULES No 13,HERCULES,HERCULES,2.31,"DEDALES DE HULE HERCULES No 13
",https://henki.com.mx/erp/shared_resources/productos/HER-DEDDE-1084.jpg
BOLIGRAFO PUNTO MEDIANO AZUL,PLUBOL205C12,ESCRIMEX,2.41,BOLIGRAFO PUNTO MEDIANO AZUL ESCRIMEX,https://henki.com.mx/erp/shared_resources/restore/1003xfjvzzido4.png
FOLDER TAMAÑO OFICIO COLOR AZUL,APSA,APSA,2.3,FOLDER TAMAÑO OFICIO EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 24.5 X 34.5 CMS CAJA CON 100 PIEZAS COLOR AZUL APSA,https://henki.com.mx/erp/shared_resources/productos/JYL-FOLTAM-1117.jpg
LAPIZ DE GRAFITO HEXAGONAL BACO,LP005,BACO,2.55,LAPIZ DE GRAFITO HEXAGONAL HB SIN MADERA No 2 BACO,https://henki.com.mx/erp/shared_resources/restore/1041v6pbxl3w23.png
BOLIGRAFO PUNTO MEDIANO ROJO,BL003,BACO,2.83,BOLIGRAFO PUNTO MEDIANO LE PLUME ROJO BACO,https://henki.com.mx/erp/shared_resources/productos/136-removebg-preview-png
REGISTRADOR KYMA TAMAÑO CARTA VERDE JASPEADO,REGIS-KY-VJ,KYMA,33.2,REGISTRADOR KYMA TAMAÑO CARTA VERDE JASPEADO,https://henki.com.mx/erp/shared_resources/productos/KYM-REGKYM-1463.jpg
BOLIGRAFO TRIANGULAR MEDIANO COLOR AZUL A-INK,ABT-A,A-INK,2.8,"BOLIGRAFO TRIANGULAR A-INK, PUNTO MEDIANO, 1.0mm, COLOR AZUL, NO TOXICO, CON TAPA ANTIASFIXIA, MODELO ABT-A ",https://henki.com.mx/erp/shared_resources/restore/1439hwyf5vvu0m.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AZUL OSCURO,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR AZUL OSCURO MYP,https://henki.com.mx/erp/shared_resources/restore/1134ro8cmwaosi.png
BOLIGRAFO PUNTO MEDIANO NEGRO,PLUBOL204C12,ESCRIMEX,2.41,BOLIGRAFO PUNTO MEDIANO NEGRO ESCRIMEX ,https://henki.com.mx/erp/shared_resources/restore/1004l5546zlkym.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA VERDE OSCURO,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR VERDE OSCURO MYP,https://henki.com.mx/erp/shared_resources/restore/1024lu5pu7i6ut.png
FOLDER TAMAÑO OFICIO COLOR CREMA,APSA,APSA,2.21,FOLDER TAMAÑO OFICIO EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 24.5 X 34.5 CMS CAJA CON 100 PIEZAS COLOR CREMA APSA,https://henki.com.mx/erp/shared_resources/productos/3289RE.png
CAJA PARA ARCHIVO MUERTO FORTEC TAMAÑO OFICIO,CAM-OFICIO,FORTEC,36.01,CAJA PARA ARCHIVO MUERTO DE CARTON FORTEC MODELO CAM-OFICIO TAMAÑO OFICIO TAPA INTEGRADA MED. 49.5X36X25.5,https://henki.com.mx/erp/shared_resources/restore/1029cyopoqghvj.png
NOTAS ADHESIVAS 3X3 AMARILLAS,21007P,MAE,11.28,"BLOCK DE NOTAS ADHESIVAS MEDIDA 76 MM X 76 MM (3"" X 3"") COLOR AMARILLAS DE 100 HOJAS POR PIEZA MODELO 21007P MAE",https://henki.com.mx/erp/shared_resources/productos/MAE-NOTADH-289.jpg
MICA PROTECTOR DE HOJAS CARTA OPACO CON 100 PIEZAS,PHKCOP-100,KIP,54.57,"MICA PROTECTOR DE HOJAS CARTA OPACO KIP CON 100 PIEZAS, LIBRE DE ACIDO, NO TOXICO, 100% RECICLABLE",https://henki.com.mx/erp/shared_resources/restore/10271vihc0js92.png
BOLIGRAFO PUNTO FINO NEGRO,BOLEX FINO,BOLEX,2.14,BOLIGRAFO PUNTO FINO NEGRO BOLEX,https://henki.com.mx/erp/shared_resources/restore/1012k2y3apz5pw.png
DEDAL DE HULE HERCULES No 11,HERCULES,HERCULES,2.31,DEDALES DE HULE HERCULES No 11,https://henki.com.mx/erp/shared_resources/productos/HER-DEDDE-1085.jpg
LIGA DE HULE NATURAL No 18 HERCULES EN BOLSA,HERCULES,HERCULES,15.98,LIGA DE HULE NATURAL No 18 HERCULES EN BOLSA DE 100 GRAMOS,https://henki.com.mx/erp/shared_resources/productos/3HER-LIGDE-912.jpg-.jpg
FOLDER TAMAÑO OFICIO COLOR CREMA,M758 1/2,OXFORD,2.13,FOLDER TAMAÑO OFICIO EN CARTULINA DE 165 GRAMOS CON 1/2 CEJA Y PUNTAS REDONDEADAS CON DOBLE PERFORACION PARA BROCHE MEDIDAS 22 X 34.5 CMS CAJA CON 100 PIEZAS COLOR CREMA MODELO M758 1/2 OXFORD,https://henki.com.mx/erp/shared_resources/productos/OXF-FOLTAM-1131.jpg
LAPIZ DE GRAFITO HEXAGONAL METRICO,METRICO,DIXON,3.74,LAPIZ DE GRAFITO HEXAGONAL No 2 METRICO DIXON,https://henki.com.mx/erp/shared_resources/restore/1043h9o2b6kduv.png
FOLDER TAMAÑO CARTA COLOR VERDE INTENSO,JYL,APSA,2.62,FOLDER TAMAÑO CARTA EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 23.5 X 29.5 CMS CAJA CON 100 PIEZAS COLOR VERDE INTENSO APSA,https://henki.com.mx/erp/shared_resources/productos/JYL-FOLTAM-2396.jpg
CINTA ADHESIVA TRANSPARENTE LEADER MODELO 601 12 MM X 33 MTS,601,LEADER,3.22,CINTA ADHESIVA TRANSPARENTE LEADER MODELO 601 MEDIDA 12 MM X 33 MTS,https://henki.com.mx/erp/shared_resources/productos/LEA-CINADH-935.jpg
GOMA BLANCA MAE GM30BE,GM-30BE,MAE,2.88,"GOMA BLANCA MAE MODELO GM-30BE BORRA LAPIZ Y COLOR, NO TOXICO",https://henki.com.mx/erp/shared_resources/productos/1MAE-GOMBLA-1181-.jpg
FOLDER TAMAÑO CARTA COLOR AZUL,APSA,APSA,2.66,FOLDER TAMAÑO CARTA EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 23.5 X 29.5 CMS CAJA CON 100 PIEZAS COLOR AZUL APSA,https://henki.com.mx/erp/shared_resources/productos/APS-FOLTAM-1116.jpg
BOLIGRAFO PUNTO MEDIANO ROJO,PLUBOL206C12,ESCRIMEX,2.41,BOLIGRAFO PUNTO MEDIANO ROJO ESCRIMEX,https://henki.com.mx/erp/shared_resources/restore/10057tpbzeusqa.png
GRAPA ESTANDAR A-INK ,GP-266,A-INK,25.21,GRAPA ESTANDAR 26/6 A-INK MODELO GP-266 CON 5000 PIEZAS,https://henki.com.mx/erp/shared_resources/productos/A-I-GRAEST-555.jpg-.jpg
DEDALES DE HULE HERCULES No 12,HERCULES,HERCULES,2.31,DEDAL DE HULE HERCULES No 12,https://henki.com.mx/erp/shared_resources/productos/11DEDAL.jpg
REGISTRADOR KYMA TAMAÑO OFICIO VERDE JASPEADO,REGI0-KY-OF,KYMA,38.73,REGISTRADOR KYMA TAMAÑO OFICIO VERDE JASPEADO,https://henki.com.mx/erp/shared_resources/productos/1AZO-REGLEF-1444.jpg
BOLIGRAFO ROLLER GEL NEGRO SABONIS,GL501,SABONIS,6.03,BOLIGRAFO ROLLER GEL SABONIS COLOR NEGRO MODELO GL501 PUNTO 0.5 MM PIEZA,https://henki.com.mx/erp/shared_resources/productos/1SAB-BOLROL-786.jpg
TIJERA DE OFICINA JOCAR DE 6 1/2 PULGADAS,JCP60B,JOCAR,25.06,"TIJERA DE OFICINA 6"" 1/2 JOCAR, EN BOLSA DE PVC, MODELO JCP60B",https://henki.com.mx/erp/shared_resources/restore/1039edwmv9miys.png
BOLIGRAFO KILOMETRICO PUNTO MEDIANO AZUL,LA3531,BEROL,3.23,BOLIGRAFO PUNTO MEDIANO 1.0 MM AZUL KILOMETRICO INKJOY 100ST PAPER MATE,https://henki.com.mx/erp/shared_resources/restore/1017mxhjlndsa1.png
BOLIGRAFO PUNTO MEDIANO NEGRO,BOLEX,BOLEX,2.13,BOLIGRAFO PUNTO MEDIANO NEGRO BOLEX,https://henki.com.mx/erp/shared_resources/restore/10089rr4ko7kpx.png
SOBRE BOLSA SOLAPA ENGOMADA MANILA ESQUELA,SOBMGK-ESQ,KIP,1.66,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO ESQUELA MEDIDAS 16.5 X 25.0 CMS MODELO SOBMGK-ESQ KIP,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBBOL-2270.jpg-.jpg
BROCHE PARA ARCHIVO 8CM A-INK,BR-8,A-INK,37.93,BROCHE PARA ARCHIVO 8 CM A-INK MODELO BR-8 CAJA CON 50 PIEZAS,https://henki.com.mx/erp/shared_resources/productos/3685BRE.png
FOLDER TAMAÑO OFICIO COLOR VERDE,M751 1/2 GRE,OXFORD,1.89,FOLDER TAMAÑO OFICIO EN CARTULINA DE 171 GRAMOS CON 1/2 CEJA Y PUNTAS REDONDEADAS CON DOBLE PERFORACION PARA BROCHE MEDIDAS 22 X 34.5 CMS CAJA CON 100 PIEZAS COLOR VERDE MODELO M7511/2GRE OXFORD,https://henki.com.mx/erp/shared_resources/productos/2649.jpg
CORRECTOR LIQUIDO MAE 20 ML,CBM-2012,MAE,9.01,CORRECTOR LIQUIDO MAE MODELO CBM-2012 DE 20 ML SECADO RAPIDO ,https://henki.com.mx/erp/shared_resources/restore/1041zlh1easykl.png
FOLDER TAMAÑO OFICIO COLOR AMARILLO,FMOAM,JYL,2.31,"FOLDER TAMAÑO OFICIO EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 24.5 X 34.5 CMS CAJA CON 100 PIEZAS COLOR AMARILLO JYL
",https://henki.com.mx/erp/shared_resources/productos/3344RE.png
CLIP ESTANDAR No 1 ACCO,P1650,ACCO,9.23,CLIP ESTANDAR No 1 ACCO MODELO P1650 CAJA CON 100 PIEZAS,https://henki.com.mx/erp/shared_resources/restore/105037racwulr0.png
FOLDER TAMAÑO CARTA COLOR AZUL,M750 1/2 BLU,OXFORD,2.95,FOLDER TAMAÑO CARTA EN CARTULINA DE 171 GRAMOS CON 1/2 CEJA Y PUNTAS REDONDEADAS CON DOBLE PERFORACION PARA BROCHE MEDIDAS 22 X 29.5 CMS CAJA CON 100 PIEZAS COLOR AZUL MODELO M7501/2BLU OXFORD,https://henki.com.mx/erp/shared_resources/productos/OXF-FOLTAM-1130.jpg
BOLIGRAFO PUNTO MEDIANO AZUL,BIC CRISTAL,BIC,3.9,BOLIGRAFO PUNTO MEDIANO AZUL BIC,https://henki.com.mx/erp/shared_resources/restore/1010rnylakq04q.png
BOLIGRAFO KILOMETRICO PUNTO MEDIANO NEGRO,LA3533,BEROL,3.23,BOLIGRAFO PUNTO MEDIANO 1.0 MM NEGRO KILOMETRICO INKJOY 100ST PAPER MATE,https://henki.com.mx/erp/shared_resources/restore/101846zuwk67k8.png
BANDERITAS SEÑALIZADORAS NEON 160,21401P,MAE,28.56,BANDERITAS ADHESIVAS SEÑALIZADORAS DE INDICE MEDIDA 8 MM X 45 MM DE 160 HOJAS 20 POR COLOR COLORES NEON SEMITRANSPARENTES MODELO 21401-P MAE,https://henki.com.mx/erp/shared_resources/productos/MAE-SE.jpg
SOBRE BOLSA SOLAPA ENGOMADA NUMERO 5 COIN,SOBCOK-005,KIP,0.65,SOBRE SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS NUMERO 5 COIN MEDIDAS 8.8 X 16.4 CMS MODELO SOBCOK-005 KIP,https://henki.com.mx/erp/shared_resources/productos/TRO-SOBSOL-1144.jpg-.jpg
FOLDER TAMAÑO OFICIO COLOR VERDE,DIEM,DIEM,2.45,FOLDER TAMAÑO OFICIO EN CARTULINA DE 163 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 24.5 X 34.5 CMS CAJA CON 100 PIEZAS COLOR VERDE DIEM,https://henki.com.mx/erp/shared_resources/productos/DIE-FOLTAM-1096.jpg
SOBRE BOLSA SOLAPA ENGOMADA MANILA MEDIO OFICIO,TROSA,TROSA,1.5,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO MEDIO OFICIO MEDIDAS 19.1 X 26.7 CMS TROSA,https://henki.com.mx/erp/shared_resources/restore/11363w9dvs2ezp.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA VERDE CLARO ,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR VERDE CLARO MYP,https://henki.com.mx/erp/shared_resources/productos/2479.jpg
CLIP ESTANDAR No 2 ACCO ,P1660,ACCO,8.62,CLIP ESTANDAR No 2 ACCO MODELO P1660 CON 100 PIEZAS,https://henki.com.mx/erp/shared_resources/restore/1051bl96dtsh5k.png
LAPIZ ROJO CARMIN TRIANGULAR BUFFY,BF9216-3,BUFFY,2.2,LAPIZ ROJO CARMIN TRIANGULAR BUFFY MODELO BF9216-3,https://henki.com.mx/erp/shared_resources/restore/1062e4mpb0m06c.png
FOLDER TAMAÑO CARTA COLOR ROJO INTENSO,JYL,APSA,2.62,FOLDER TAMAÑO CARTA EN CARTULINA DE 165 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS MEDIDAS 23.5 X 29.5 CMS CAJA CON 100 PIEZAS COLOR ROJO INTENSO APSA,https://henki.com.mx/erp/shared_resources/productos/JYL-FOLTAM-2397.jpg
ARILLOS DE PLASTICO CERLOX GBC 1/2 COLOR NEGRO,M080319,GBC,77.88,"ARILLOS DE PLASTICO PARA ENGARGOLAR CERLOX GBC 1/2"" MODELO M080319 COLOR NEGRO CAPACIDAD 66-80 HOJAS PAQUETE CON 25 ARILLOS",https://henki.com.mx/erp/shared_resources/productos/ACC-ARIDE-221.jpg-.jpg
FOLDER CON BROCHE 8 CENTIMETROS TAMAÑO OFICIO AZUL CLARO,MYP,MYP,8.35,FOLDER TAMAÑO OFICIO EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE 8 CENTIMETROS MEDIDAS 23 X 35 CMS COLOR AZUL CLARO MYP,https://henki.com.mx/erp/shared_resources/productos/12483.jpg
BOLIGRAFO PUNTO MEDIANO ROJO,BIC CRISTAL,BIC,3.84,BOLIGRAFO PUNTO MEDIANO ROJO BIC,https://henki.com.mx/erp/shared_resources/restore/10129jzl007xcl.png
REGLA DE PLASTICO BACO 30 CENTIMETROS,RG005,BACO,4.86,REGLA DE PLASTICO BACO 30 CENTIMETROS,https://henki.com.mx/erp/shared_resources/productos/BAC-REGDE-1060-.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA ROJO,MYP,MYP,8.35,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR ROJO MYP,https://henki.com.mx/erp/shared_resources/restore/1568futz6qdpvp.png
ENGRAPADORA METALICA TIRA COMPLETA A-INK ,EG-30,A-INK,77.76,"ENGRAPADORA METALICA TIRA COMPLETA A-INK MODELO EG-30, GRAPA ESTANDAR COLOR NEGRO CAPACIDAD 20 HOJAS ",https://henki.com.mx/erp/shared_resources/productos/A-I-ENGMET-1519.jpg-.jpg
BANDERITAS SEÑALIZADORAS FLECHA POP-UP,26003,MAE,55.1,BANDERITAS ADHESIVAS SEÑALIZADORAS DE INDICE MEDIDA 45 MM X 12 MM DE 150 HOJAS COLORES PRIMARIOS FLECHA MODELO 26003 MAE,https://henki.com.mx/erp/shared_resources/productos/MAE-BANMIN-305.jpg
LAPIZ ADHESIVO ESTRELLA 21 GRAMOS ,6560,ESTRELLA,10.59,"LAPIZ ADHESIVO ESTRELLA DE 21 GRAMOS MODELO 6560 PEGA PAPEL, TELA Y CARTON, NO TOXICO",https://henki.com.mx/erp/shared_resources/productos/3270RE.png
CAJA PARA ARCHIVO MUERTO BEROKY TAMAÑO CARTA,22003,BEROKY,33.21,CAJA PARA ARCHIVO MUERTO DE CARTON BEROKY TAMAÑO CARTA MEDIDAS ALTO 24.6 CM ANCHO 30.9 CM PROFUNDO 48 CM,https://henki.com.mx/erp/shared_resources/restore/1026me2c5r3adl.png
CLIP MARIPOSA No 1 ACCO,P1710,ACCO,22.41,CLIP MARIPOSA No 1 ACCO MODELO P1710 CON 12 PIEZAS,https://henki.com.mx/erp/shared_resources/restore/1150p6z8d72das.png
BOLIGRAFO PUNTO MEDIANO NEGRO,BIC CRISTAL,BIC,4.04,BOLIGRAFO PUNTO MEDIANO NEGRO BIC,https://henki.com.mx/erp/shared_resources/restore/1011fkt0uldei2.png
CAJA DE ARCHIVO MUERTO PLASTICO FORTEC TAMAÑO CARTA,CAM-MIX,FORTEC,59.01,CAJA DE ARCHIVO PLASTICA FORTEC MODELO CAM-MIX TAMAÑO CARTA / OFICIO TAPA INDEPENDIENTE,https://henki.com.mx/erp/shared_resources/restore/1035yc38ze73vs.png
CINTA ADHESIVA TRANSPARENTE LEADER MODELO 601 18 MM X 33 MTS,601,LEADER,5.67,CINTA ADHESIVA TRANSPARENTE LEADER MODELO 601 MEDIDA 18 MM X 33 MTS,https://henki.com.mx/erp/shared_resources/productos/LEA-CINADH-936.jpg
CORRECTOR TIPO PLUMA A-INK DE 8ML,ACLP8-12,A-INK,15.42,"CORRECTOR TIPO PLUMA A-INK, DE 8ML, SECADO RAPIDO, MODELO ACLP8-12",https://henki.com.mx/erp/shared_resources/restore/1443cmuc4ey7nz.png
BOLIGRAFO PINT POINT PUNTO FINO ROJO,6810RO,AZOR,3.48,BOLIGRAFO PUNTO FINO 0.7 MM AZOR PUNTO DE AGUJA ROJO PINT POINT BARRIL ROJO TRANSPARENTE MODELO 6810RO,https://henki.com.mx/erp/shared_resources/restore/1009h7ao7tjw80.png
SOBRE BOLSA SOLAPA ENGOMADA BLANCO ESQUELA,SOBBGK-ESQ,KIP,1.77,SOBRE BOLSA SOLAPA ENGOMADA PAPEL BOND BLANCO DE 90 GRAMOS TAMAÑO ESQUELA MEDIDA 16.5 X 25 CMS MODELO SOBBGK-ESQ KIP,https://henki.com.mx/erp/shared_resources/productos/2428RE.png
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AMARILLO,MYP,MYP,6.96,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 23 X 29.5 CMS COLOR AMARILLO MYP,https://henki.com.mx/erp/shared_resources/productos/2481.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AZUL CLARO,CAPRKB-TC-AZC,KYMA,9.01,FOLDER TAMAÑO CARTA EN CARTULINA PRESSBOARD DE 330 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 24.5 X 29.5 CMS COLOR AZUL CLARO MODELO CAPRKB-TC-AZC KYMA,https://henki.com.mx/erp/shared_resources/productos/13261RE.png
GOMA BLANCA BACO G30,G30,BACO,2.9,GOMA BLANCA BACO MODELO G-30 NO MALTRATA EL PAPEL,https://henki.com.mx/erp/shared_resources/productos/1BAC-GOMBLA-1178-.jpg
FOLDER TAMAÑO CARTA COLOR VERDE,PH0029,MAPASA,3.44,FOLDER TAMAÑO CARTA EN CARTULINA DE 175 GRAMOS HOT COLORS CON 1/2 CEJA Y PUNTAS REDONDEADAS PRESUAJADO PARA BROCHE MEDIDAS 22 X 29.5 CMS CAJA CON 100 PIEZAS COLOR VERDE MODELO PH0029 STARFILE,https://henki.com.mx/erp/shared_resources/productos/MAP-FOLHOT-2404.jpg
BANDERITAS SEÑALIZADORAS NEON 100,21051P,MAE,26.17,BANDERITAS ADHESIVAS SEÑALIZADORAS DE INDICE MEDIDA 45 MM X 12 MM DE 75 HOJAS Y 45 MM X 25 MM DE 25 HOJAS COLORES NEON MODELO 21051P MAE,https://henki.com.mx/erp/shared_resources/productos/MAE-BANDE-304.jpg
MARCADOR PERMANENTE FINO NEGRO,3800NE,AZOR,9.99,MARCADOR PERMANENTE MONOPOL PUNTO FINO NEGRO MODELO 3800NE AZOR,https://henki.com.mx/erp/shared_resources/productos/AZO-MARPER-135.jpg
MARCADOR CERA NEGRO A-INK,WXC-10N,A-INK,9.4,MARCADOR DE CERA NEGRO A-INK MODELO WXC-10N,https://henki.com.mx/erp/shared_resources/restore/1437w0xrqsa8rf.png
GOMA TIPO MIGAJON PELIKAN M40,06150401,PELIKAN,2.46,"GOMA TIPO MIGAJON PELIKAN MODELO M40 LIBRE DE PVC, NO MANCHA",https://henki.com.mx/erp/shared_resources/productos/PEL-GOMTIP-1189-.jpg
CINTA DE EMPAQUE TRANSPARENTE LEADER 48 MM X 50 MTS,AB-1,LEADER,14.49,CINTA DE EMPAQUE TRANSPARENTE LEADER AB-1 MEDIDA 48 MM X 50 MTS ,https://henki.com.mx/erp/shared_resources/productos/LEA-CINDE-958.jpg
