28,Bad Bunny,Ignorantes,38RIEav39FGi86jppxO0du,85
42,Rauw Alejandro,Fantasias - Remix,0A37XY67wSdGqkGjtfW6aV,85
158,Sam Smith,To Die For,2ZTYlnhhV1UAReg7wIGolx,85
136,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,85
236,Doja Cat,Say So (feat. Nicki Minaj),11VApNQCWLJdzxWrlmwzUa,85
248,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,85
849,Playboi Carti,@ MEH,5UusfWUMMLEXLMc1ViNZoe,85
788,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),7wsmIIm0xWmtP7TmACXkJn,85
12,J Balvin,Azul,2lCkncy6bIB0LTMT7kvrD1,85
22,J Balvin,Rojo,380HmhwTE2NJgawn1NwkXi,85
25,Bad Bunny,Pero Ya No,75pQqzwgCjUOSSy5CpmAjy,84
48,Arcangel,Sigues Con El - Remix,4Pu0a2TuHOYtI4CCE3HEXI,84
344,Justin Bieber,Forever (feat. Post Malone & Clever),2ZlCGeK30BLRNSPC832pNZ,84
108,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,84
1136,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,84
97,Lunay,La Cama - Remix,2tGENA8xef0wABdHvyXwv9,84
111,Black Eyed Peas,MAMACITA,14wf185UxfNbSy8dwt4r4q,84
1872,Polo G,Go Stupid,74fV8TuLZKVzSIOOGu8wwI,84
265,Joji,Gimme Love,2hfoyc7ve6xM4ZEiNIiU1B,84
173,BTS,ON,2QyuXBcV1LJ2rq01KhreMF,84
221,Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,84
1643,StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,84
353,Selena Gomez,Boyfriend,4QnC1bIaMSfDQvF4XDhV5M,84
1787,DaBaby,FIND MY WAY,1gVCEnryJhkdQcuC0Kbvor,84
607,IU,eight(Prod.&Feat. SUGA of BTS),0pYacDCZuRhcrwGUA5nTBe,84
243,Trevor Daniel,Falling,2rRJrJEo19S2J82BDsQ3F7,83
873,Lauv,"fuck, i'm lonely (with Anne-Marie)",09PGubKAMryhOWv1LHpCYz,83
39,Bad Bunny,Bichiyal,4j4w4CXm6BSr0s25wAWrrX,83
1266,MC Lan,Rave de Favela (feat. BEAM),1K7WzjKDcDdVbKNGrB0gej,83
71,Jhay Cortez,Medusa,3qM0vBxIe4VUbK0Z0smuVP,83
