17,"Governor Gretchen Whitmer on the Coronavirus, Trump, and the Accusations Against Joe Biden",https://www.newyorker.com/podcast/political-scene/governor-gretchen-whitmer-on-the-coronavirus-trump-and-the-accusations-against-joe-biden,"Mon, 11 May 2020 20:30:00 +0000","The Michigan governor speaks with Susan B. Glasser about guiding her state through the coronavirus pandemic, her public skirmishes with Donald Trump, and her support of Joe Biden."
18,A Forgotten Twentieth-Century Photographer’s Wild Portraits of Women in Nature,https://www.newyorker.com/culture/photo-booth/a-forgotten-twentieth-century-photographers-wild-portraits-of-women-in-nature,"Mon, 11 May 2020 19:09:15 +0000","Sarah Blackwood writes about the groundbreaking photographer Anne Brigman, who created sweeping and ambitious photos of nudes and landscapes in the Sierra Nevada."
19,Come On and Zoom-Zoom,https://www.newyorker.com/culture/culture-desk/come-on-and-zoom-zoom,"Mon, 11 May 2020 18:38:12 +0000","David Kamp interviews the original cast members and creators of the public-access TV show “Zoom,” which burst out of Boston in the nineteen-seventies and is still beloved by older members of Generation X."
20,In Search of a Good Night’s Rest,https://www.newyorker.com/humor/daily-shouts/in-search-of-a-good-nights-rest,"Mon, 11 May 2020 18:00:00 +0000","Tim Peacock illustrates someone trying, but failing, to cut back on his screen time in order to get a good night’s sleep."
21,Susan Collins to Self-Quarantine to Avoid Possible Contact with Decisions,https://www.newyorker.com/humor/borowitz-report/susan-collins-to-self-quarantine-to-avoid-possible-contact-with-decisions,"Mon, 11 May 2020 15:08:10 +0000","Andy Borowitz jokes that the senator of Maine, Susan Collins, vowed to self-quarantine during the coronavirus pandemic in order to avoid possible contact with decisions in the Senate."
22,"Daily Cartoon: Monday, May 11th",https://www.newyorker.com/cartoons/daily-cartoon/monday-may-11th-go-outside,"Mon, 11 May 2020 14:36:53 +0000",Elisabeth McNair’s Daily Cartoon depicts worms speculation on whether it is safe to go outside and above ground again.
23,Briefly Noted Book Reviews,https://www.newyorker.com/magazine/2020/05/18/hell-and-other-destinations-square-haunting-breasts-and-eggs-and-how-to-pronounce-knife,"Mon, 11 May 2020 10:00:00 +0000","“Hell and Other Destinations,” “Square Haunting,” “Breasts and Eggs,” and “How to Pronounce Knife.”"
24,Let Them Eat Daylilies,https://www.newyorker.com/magazine/2020/05/18/let-them-eat-daylilies,"Mon, 11 May 2020 10:00:00 +0000","One of the many artists whose work has been stilled by the pandemic, the theatre director Sibyl Kempson offers lessons in foraging, via the HireArtists marketplace, Sarah Larson writes."
25,"Dorothea Lange and Félix Fénéon at MOMA, and Online",https://www.newyorker.com/magazine/2020/05/18/dorothea-lange-and-felix-feneon-at-moma-and-online,"Mon, 11 May 2020 10:00:00 +0000","The museum’s halls are closed to visitors, but the Depression photographer and the Parisian art-world anarchist are well worth a digital outing, Peter Schjeldahl writes."
26,Now Not Playing: Marquees in Quarantine,https://www.newyorker.com/magazine/2020/05/18/now-not-playing-marquees-in-quarantine,"Mon, 11 May 2020 10:00:00 +0000","Sketchpad by Julia Rothman and Shaina Feinberg: “Keep Ya Head Up,” “Be Excellent to Each Other,” and other messages from your local cinema."
27,Jonathan Lethem on Lucid Dreaming,https://www.newyorker.com/books/this-week-in-fiction/jonathan-lethem-05-18-20,"Mon, 11 May 2020 10:00:00 +0000","Cressida Leyshon interviews the author Jonathan Lethem about his short story “The Afterlife,” from the May 18, 2020, issue of The New Yorker."
28,The Mail,https://www.newyorker.com/magazine/2020/05/18/letters-from-the-may-18-2020-issue,"Mon, 11 May 2020 10:00:00 +0000",Letters respond to Adam Gopnik’s piece about coffee and Amy Davidson Sorkin’s Comment on global efforts to contain the coronavirus.
29,A San Francisco Baker on What Hospitality Looks Like During the Coronavirus Pandemic,https://www.newyorker.com/culture/video-dept/a-san-francisco-baker-on-what-hospitality-looks-like-during-the-coronavirus-pandemic,"Mon, 11 May 2020 10:00:00 +0000","Linnea Feldman Emison writes about a video in which Reem Assil, the owner of Reem’s California, talks about the challenges of running a business and maintaining community connections while social distancing."
30,The First Great Original Play of Quarantine,https://www.newyorker.com/magazine/2020/05/18/the-first-great-original-play-of-quarantine,"Mon, 11 May 2020 10:00:00 +0000","Alexandra Schwartz reviews Richard Nelson’s “What Do We Need to Talk About?,” which takes place on Zoom."
31,"Slide Show: New Yorker Cartoons May 18, 2020",https://www.newyorker.com/cartoons/issue-cartoons/cartoons-from-the-may-18-2020-issue,"Mon, 11 May 2020 10:00:00 +0000",New cartoons from the magazine.
32,War Poems of the Pandemic,https://www.newyorker.com/magazine/2020/05/18/war-poems-of-the-pandemic,"Mon, 11 May 2020 10:00:00 +0000","Channelling Walt Whitman, a visiting military medic records his daily observations and fears in verse, Mark Rozzo writes."
33,The Glove Challenge,https://www.newyorker.com/magazine/2020/05/18/the-glove-challenge,"Mon, 11 May 2020 10:00:00 +0000","People are wearing disposable gloves to protect themselves from the coronavirus, Erik Baard writes. But who will protect the oceans and waterways from the gloves that get tossed on the ground?"
