Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
 T O X I C B O Y,Victory,470daysago,28min,2,2,4,3.0,175CS
 T O X I C B O Y,Defeat,473daysago,23min,1,4,1,0.5,94CS
 T O X I C B O Y,Defeat,474daysago,37min,7,10,6,1.3,209CS
 T O X I C B O Y,Victory,475daysago,27min,3,0,4,7.0,209CS
 T O X I C B O Y,Victory,475daysago,27min,0,2,3,1.5,233CS
 T O X I C B O Y,Victory,475daysago,27min,5,3,8,4.33,189CS
 T O X I C B O Y,Victory,475daysago,25min,2,6,8,1.67,83CS
 T O X I C B O Y,Defeat,482daysago,20min,7,7,1,1.14,76CS
 T O X I C B O Y,Victory,482daysago,24min,17,5,7,4.8,174CS
 T O X I C B O Y,Defeat,482daysago,35min,4,9,2,0.67,187CS
 T O X I C B O Y,Victory,483daysago,20min,17,2,6,11.5,152CS
