Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
IvanRomeroEnFB,Victory,217daysago,24min,0,5,6,1.2,139CS
IvanRomeroEnFB,Defeat,217daysago,21min,3,7,2,0.71,108CS
IvanRomeroEnFB,Defeat,217daysago,35min,1,11,4,0.45,133CS
IvanRomeroEnFB,Defeat,217daysago,21min,1,4,6,1.75,127CS
IvanRomeroEnFB,Defeat,217daysago,26min,2,8,4,0.75,154CS
IvanRomeroEnFB,Victory,217daysago,41min,6,3,27,11.0,50CS
IvanRomeroEnFB,Defeat,217daysago,32min,9,6,15,4.0,140CS
IvanRomeroEnFB,Defeat,218daysago,31min,10,4,4,3.5,227CS
IvanRomeroEnFB,Defeat,224daysago,33min,2,11,6,0.73,183CS
IvanRomeroEnFB,Victory,224daysago,20min,3,1,5,8.0,140CS
IvanRomeroEnFB,Victory,224daysago,30min,4,3,5,3.0,164CS
IvanRomeroEnFB,Defeat,224daysago,20min,1,5,5,1.2,92CS
IvanRomeroEnFB,Victory,224daysago,23min,2,2,5,3.5,104CS
IvanRomeroEnFB,Victory,224daysago,25min,7,1,9,16.0,179CS
IvanRomeroEnFB,Victory,224daysago,24min,2,2,8,5.0,110CS
IvanRomeroEnFB,Victory,224daysago,34min,5,11,14,1.73,204CS
