Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Rudon,Defeat,2019-07-15,21,1,5,3,0.8,128
Rudon,Victory,2019-07-14,33,8,8,11,2.38,202
Rudon,Victory,2019-07-14,20,7,1,7,14.0,156
Rudon,Victory,2019-07-14,22,9,3,11,6.67,125
Rudon,Victory,2019-07-12,24,3,1,15,18.0,11
Rudon,Victory,2019-07-12,20,0,6,11,1.83,37
Rudon,Victory,2019-07-12,30,7,3,26,11.0,36
Rudon,Defeat,2019-07-05,34,5,11,12,1.55,148
Rudon,Defeat,2019-06-30,28,8,9,3,1.22,160
Rudon,Victory,2019-06-21,24,7,8,7,1.75,107
Rudon,Defeat,2019-06-19,31,7,10,6,1.3,27
Rudon,Victory,2019-06-19,32,1,7,8,1.29,216
Rudon,Defeat,2019-06-17,40,4,8,8,1.5,137
Rudon,Victory,2019-06-11,28,7,6,11,3.0,180
Rudon,Victory,2019-06-11,16,3,1,6,9.0,124
