Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
T O X I C B O Y,Defeat,2019-08-02,26,3,7,7,1.43,48
T O X I C B O Y,Defeat,2019-08-02,17,0,3,0,0.0,84
T O X I C B O Y,Defeat,2019-07-25,25,7,12,1,0.67,120
T O X I C B O Y,Defeat,2019-07-23,27,9,10,7,1.6,130
T O X I C B O Y,Victory,2019-07-21,24,20,8,8,3.5,153
T O X I C B O Y,Victory,2019-07-21,24,23,4,2,6.25,164
T O X I C B O Y,Victory,2019-07-21,27,17,5,6,4.6,150
T O X I C B O Y,Victory,2019-07-21,31,0,5,13,2.6,52
T O X I C B O Y,Victory,2019-07-21,22,1,3,12,4.33,40
T O X I C B O Y,Victory,2019-07-19,19,2,1,7,9.0,39
T O X I C B O Y,Defeat,2019-07-19,23,0,5,9,1.8,11
T O X I C B O Y,Victory,2019-07-19,28,0,4,10,2.5,58
T O X I C B O Y,Victory,2019-07-19,28,2,2,20,11.0,30
T O X I C B O Y,Defeat,2019-07-19,30,3,4,2,1.25,127
T O X I C B O Y,Defeat,2019-07-19,31,8,8,7,1.88,178
T O X I C B O Y,Victory,2019-07-18,25,0,3,1,0.33,165
T O X I C B O Y,Victory,2019-07-18,24,3,0,5,8.0,186
T O X I C B O Y,Victory,2019-07-18,28,1,0,5,6.0,162
T O X I C B O Y,Defeat,2019-07-18,21,0,4,2,0.5,73
T O X I C B O Y,Defeat,2019-07-17,20,2,4,4,1.5,80
T O X I C B O Y,Victory,2019-07-17,27,0,4,10,2.5,113
T O X I C B O Y,Victory,2019-07-17,24,4,2,4,4.0,148
T O X I C B O Y,Defeat,2019-07-12,20,1,3,1,0.67,94
T O X I C B O Y,Victory,2019-07-12,31,3,5,6,1.8,121
T O X I C B O Y,Victory,2019-07-12,31,2,0,4,6.0,145
T O X I C B O Y,Victory,2019-07-07,26,0,3,14,4.67,119
T O X I C B O Y,Defeat,2019-07-06,21,2,4,1,0.75,138
T O X I C B O Y,Defeat,2019-07-06,24,3,3,3,2.0,152
T O X I C B O Y,Victory,2019-06-21,28,4,4,13,4.25,110
T O X I C B O Y,Victory,2019-06-21,22,3,1,3,6.0,142
T O X I C B O Y,Defeat,2019-06-21,34,5,3,6,3.67,145
T O X I C B O Y,Victory,2019-06-21,37,4,5,10,2.8,160
