Artista,Track,Precio track,Moneda,Album
Coldplay,Orphans,1.29,USD,Sunset
Coldplay,Fix You (Live),1.29,USD,Live 2012
Coldplay,Lost? (with JAY-Z) / Viva la Vida (Live at the 51st Annual GRAMMY Awards),1.29,USD,Lost? (with JAY-Z) / Viva la Vida (Live at the 51st Annual GRAMMY Awards) - Single
Coldplay,Yellow (Live In Sydney),1.29,USD,Live 2003
Coldplay,Paradise (Live),1.29,USD,Live 2012
Coldplay,One I Love (Live In Sydney),1.29,USD,Live 2003
The Chainsmokers & Coldplay,Something Just Like This,-1.0,USD,"NOW That's What I Call Music, Vol. 63"
Coldplay,Miracles,1.29,USD,Unbroken (Original Motion Picture Soundtrack)
Coldplay,Up In Flames (Live),1.29,USD,Live 2012
Coldplay,Charlie Brown (Live),1.29,USD,Live 2012
Coldplay,The Scientist,1.29,USD,The Scientist - Single
Coldplay,Major Minus (Live),1.29,USD,Live 2012
The Chainsmokers & Coldplay,Something Just Like This,1.29,USD,Something Just Like This (Remix Pack) - EP
Coldplay,A Sky Full of Stars,-1.0,USD,"Now That's What I Call Music, Vol. 53"
Coldplay,Only Superstition,1.29,USD,Brothers & Sisters - EP
Coldplay,Clocks (Radio Edit),1.29,USD,Clocks - Single
Coldplay & Rihanna,Princess of China (Invisible Men Remix),1.29,USD,Princess of China - EP
Coldplay,Hurts Like Heaven (Live),1.29,USD,Live 2012
Coldplay,God Put a Smile Upon Your Face (Live),1.29,USD,Live 2012
Coldplay,Clocks (Live),1.29,USD,Live 2012
Coldplay,Princess of China (Live),1.29,USD,Live 2012
Coldplay,In My Place (Live),1.29,USD,Live 2012
Coldplay & Rihanna,Princess of China (Acoustic),1.29,USD,Princess of China - EP
Coldplay,Us Against the World (Live),1.29,USD,Live 2012
Rhythms del Mundo & Coldplay,Clocks,1.29,USD,Rhythms del Mundo Cuba
Coldplay,Politik (Live In Sydney),1.29,USD,Live 2003
Coldplay,Everyday Life,1.29,USD,Sunset
Coldplay,A Sky Full of Stars (Robin Schulz Edit),1.29,USD,Prayer
Coldplay,Life In Technicolor II,1.29,USD,Life In Technicolor II - Single
Coldplay,Daddy,1.29,USD,Sunrise
Coldplay,Champion of the World,1.29,USD,Sunset
Coldplay,بنی آدم,1.29,USD,Sunset
Coldplay,"Fix You (Live from the Gelredome, Arnhem)",1.29,USD,Fix You - EP
Coldplay,Arabesque,1.29,USD,Sunrise
Coldplay,A L I E N S,1.29,USD,Kaleidoscope - EP
Coldplay,Church,1.29,USD,Sunrise
Coldplay,Midnight (Giorgio Moroder Remix),1.29,USD,Midnight (Giorgio Moroder Remix) - Single
Coldplay,Hymn for the Weekend,-1.0,USD,"NOW That's What I Call Music!, Vol. 60"
Coldplay,Old Friends,1.29,USD,Sunset
Coldplay,Èkó,1.29,USD,Sunset
Coldplay,Brothers & Sisters,1.29,USD,Brothers & Sisters - EP
Coldplay,Paradise (Tiësto Remix),1.29,USD,Princess of China - EP
Coldplay,BrokEn,1.29,USD,Sunrise
Coldplay,Cry Cry Cry,1.29,USD,Sunset
Coldplay,Trouble In Town,1.29,USD,Sunrise
Coldplay,See You Soon (Live In Sydney),1.29,USD,Live 2003
Coldplay,Sunrise,1.29,USD,Sunrise
Coldplay,Strawberry Swing,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Guns,1.29,USD,Sunset
Coldplay,Lovers In Japan (Osaka Sun Mix),1.29,USD,Prospekt's March - EP
Coldplay,When I Need a Friend,1.29,USD,Sunrise
Coldplay,Easy to Please,1.29,USD,Brothers & Sisters - EP
Coldplay,The World Turned Upside Down,1.29,USD,Fix You - EP
Coldplay,Fix You (Video Edit),1.29,USD,Fix You - Single
Coldplay,Life In Technicolor II (Radio Edit),1.29,USD,2010 Grammy Nominees
Coldplay,WOTW/POTP,1.29,USD,Sunrise
Coldplay,Rainy Day,1.29,USD,Prospekt's March - EP
Coldplay,Hypnotised,1.29,USD,Hypnotised - Single
Coldplay,All I Can Think About Is You,1.29,USD,Kaleidoscope - EP
Coldplay,Hypnotised (EP Mix),1.29,USD,Kaleidoscope - EP
Coldplay,Prospekt's March / Poppyfields,1.29,USD,Prospekt's March - EP
Coldplay,Pour Me (Live at the Hollywood Bowl),1.29,USD,Fix You - EP
Coldplay,The World Turned Upside Down,1.29,USD,Fix You - Single
Coldplay,Shiver (Jo Whiley Lunchtime Social),1.29,USD,Trouble (B-Side) - Single
Swedish House Mafia & Coldplay,Every Teardrop Is a Waterfall (Coldplay Vs. Swedish House Mafia),-1.0,USD,One Last Tour: A Live Soundtrack
Coldplay,Now My Feet Won't Touch the Ground,1.29,USD,Prospekt's March - EP
Coldplay,Shiver (Live In Sydney),1.29,USD,Live 2003
Coldplay,Talk (Junkie XL Remix),-1.0,USD,Talk - EP
Coldplay,In My Place (Live In Sydney),1.29,USD,Live 2003
Coldplay & Rihanna,Princess of China (Radio Edit),1.29,USD,Princess of China (Radio Edit) - Single
Coldplay,We All Fall In Love Sometimes,1.29,USD,Revamp: The Songs of Elton John & Bernie Taupin
Coldplay,Postcards from Far Away,1.29,USD,Prospekt's March - EP
Coldplay,Trouble,1.29,USD,Trouble (B-Side) - Single
The Chainsmokers & Coldplay,Something Just Like This,-1.0,USD,2018 GRAMMY® Nominees
Coldplay & Rihanna,Princess of China (Radio Edit),1.29,USD,Princess of China - EP
Coldplay,Life In Technicolor,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Amsterdam (Live In Sydney),1.29,USD,Live 2003
The Chainsmokers & Coldplay,Something Just Like This,1.29,USD,Something Just Like This (Remix Pack) - EP
Coldplay,Speed of Sound,1.29,USD,Speed of Sound - Single
Coldplay,A Rush of Blood to the Head (Live In Sydney),1.29,USD,Live 2003
Coldplay,A Sky Full of Stars (Hardwell Remix),1.29,USD,A Sky Full of Stars (Hardwell Remix) - Single
Coldplay,Brothers & Sisters,1.29,USD,Trouble (B-Side) - Single
Coldplay,God Put a Smile Upon Your Face (Live In Sydney),1.29,USD,Live 2003
Coldplay,Lost!,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Violet Hill,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,"Ink (Live at Le Casino De Paris, Paris)",1.29,USD,Ghost Stories: Live 2014
Coldplay,"A Sky Full of Stars (Live at the Royal Albert Hall, London)",1.29,USD,Ghost Stories: Live 2014
The Chainsmokers & Coldplay,Something Just Like This,1.29,USD,Something Just Like This (Remix Pack) - EP
Coldplay,Pour Me (Live at the Hollywood Bowl),1.29,USD,Fix You - Single
Coldplay,Atlas,1.29,USD,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack)
Coldplay,Cemeteries of London,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Death and All His Friends,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Lovers In Japan / Reign of Love,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,In My Place,-1.0,USD,Ultimate Grammy Collection: Contemporary Rock
Coldplay,"True Love (Live at the Enmore Theatre, Sydney)",1.29,USD,Ghost Stories: Live 2014
Coldplay,Everything's Not Lost (Live In Sydney),1.29,USD,Live 2003
Coldplay,"Always In My Head (Live at the Royal Albert Hall, London)",1.29,USD,Ghost Stories: Live 2014
Coldplay,Charlie Brown (Live),1.29,USD,Live 2012
Coldplay,Yes,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,42,1.29,USD,Viva la Vida or Death and All His Friends
Coldplay,Adventure of a Lifetime (Matoma Remix),1.29,USD,Adventure of a Lifetime (Matoma Remix) - Single
