Artista,Track,Video preview
Coldplay,Ghost Story,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/0a/7a/e5/0a7ae5c1-3932-97d1-dea8-64aa42e244d8/mzvf_9089968968974176158.640x480.h264lc.U.p.m4v
Coldplay,X & Y (Live from Austin City Limits),https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/ca/85/6f/ca856ff5-07fe-4cac-7f67-bf72c7f9badd/mzvf_6673259797595661697.640x380.h264lc.U.p.m4v
Coldplay,In My Place,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/08/85/a7/0885a74e-5460-0d35-4847-3f772c8ee75a/mzvf_8287677966031584212.640x272.h264lc.U.p.m4v
Coldplay,Everglow (Single Version),https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/52/e9/50/52e95020-8f55-3cc1-5b80-7d67f330bd64/mzvf_2344814913856489327.640x372.h264lc.U.p.m4v
Coldplay,Clocks,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/c1/8c/3c/c18c3cb9-3e5a-d53d-d3a9-cdcce0350dbe/mzvf_3261766335773624663.640x248.h264lc.U.p.m4v
Coldplay,God Put a Smile Upon Your Face (Live),https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/4c/47/df/4c47dfb8-b3c8-d62a-b8c0-fb3e0264c983/mzvf_4969417329464231284.640x480.h264lc.U.p.m4v
Coldplay,Daddy,https://video-ssl.itunes.apple.com/itunes-assets/Video113/v4/81/2c/cf/812ccf0c-3410-edc5-e5f6-a80e3e3e67e5/mzvf_11906874463632514041.640x480.h264lc.U.p.m4v
Coldplay,Lost! (Live),https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/90/4a/ba/904abaa0-619f-51ad-e731-a38482419e82/mzvf_4300667020953354156.640x360.h264lc.U.p.m4v
Coldplay,Viva La Vida,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/45/d8/e3/45d8e31e-ca96-0ff3-fbbd-3434d0f2142e/mzvf_1752284957463552526.640x480.h264lc.U.p.m4v
Coldplay,Don't Panic,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/36/3a/6a/363a6aeb-8ec6-0ca4-2ac0-54a68ec7c0d3/mzvf_5730027620411804474.640x372.h264lc.U.p.m4v
Coldplay,Violet Hill,https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/82/19/5d/82195de8-605b-c9ed-3f72-f6bff94d4fa5/mzvf_2911692747087942800.640x360.h264lc.U.p.m4v
Coldplay,Orphans,https://video-ssl.itunes.apple.com/itunes-assets/Video113/v4/b8/44/67/b84467fb-b70f-40b2-7034-81a504cfa8fb/mzvf_9515499066787744390.640x480.h264lc.U.p.m4v
Coldplay,The Hardest Part,https://video-ssl.itunes.apple.com/itunes-assets/Video115/v4/34/ba/76/34ba76a2-c9bf-5987-da15-802fe8d04208/mzvf_1776428584833001762.640x360.h264lc.U.p.m4v
Coldplay,Yellow,https://video-ssl.itunes.apple.com/itunes-assets/Video114/v4/75/3e/df/753edf26-7256-6763-e8eb-a539fca1f075/mzvf_8147129799575004300.640x480.h264lc.U.p.m4v
Coldplay,Shiver,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/61/04/37/610437a9-6a2a-fbef-ca38-d581f105a73a/mzvf_7882449529418983171.640x480.h264lc.U.p.m4v
Coldplay,"Fix You (Live at Allianz Parque, São Paulo, 2017)",https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/6f/f6/f2/6ff6f28f-3b9e-4fea-3530-8eeb89c925ba/mzvf_7261834236273897015.640x358.h264lc.U.p.m4v
