,title,address,price,url,type,bedrooms,rooms,bathrooms,surface
39,Renta Departamento en Be Grand Contadero a Estrenar,Ciudad de México,25.000 MXN,https://www.properstar.es/listing/81986898,Piso,6 habitación/es,2 Habit.,2 Baño.,101 m²
40,"Departamento en renta en la colonia Nápoles, a 5 minutos del World Trade Center","Ciudad de México, 36 Colorado",17.500 MXN,https://www.properstar.es/listing/82066552,Piso,7 habitación/es,2 Habit.,2 Baño.,80.65 m²
41,Rento Departamento en Santa Fe - Residencial La Campiña (Mantenimiento Incluido),"Ciudad de México, Av. Vasco de Quiroga",25.000 MXN,https://www.properstar.es/listing/81986964,Piso,2 habitación/es,2 Habit.,2 Baño.,160 m²
42,DEPARTAMENTO EN RENTA DE TRES HABITACIONES UNIDAD VICENTE GUERRERO FRENTE AL HOSPITAL GENERAL 47 DEL IMSS,Ciudad de México,7500 MXN,https://www.properstar.es/listing/81986958,Piso,3 habitación/es,3 Habit.,1 Baño.,90 m²
43,"PENT HOUSE RECIÉN REMODELADO EN COLONIA DEL VALLE, CENTRO.",Ciudad de México,18.000 MXN,https://www.properstar.es/listing/81915658,Piso,3 habitación/es,3 Habit.,,131.7 m²
44,Departamento exclusivo en Residencial Aruna a sólo 5 minutos de Santa Fe,Ciudad de México,23.000 MXN,https://www.properstar.es/listing/81876968,Piso,6 habitación/es,2 Habit.,2 Baño.,130 m²
45,"Departamento en renta, Blum Santa Fe.",Ciudad de México,24.000 MXN,https://www.properstar.es/listing/75985370,Piso,4 habitación/es,2 Habit.,2 Baño.,102 m²
46,HERMOSO DEPARTAMENTO EN RENTA DE 3 NIVELES TIPO TOWN HOUSE EN EL CENTRO DE COYOACAN,Ciudad de México,22.500 MXN,https://www.properstar.es/listing/79114422,Piso,2 habitación/es,2 Habit.,2 Baño.,100 m²
47,"Casa de Revista 7 Recámaras, Alberca y Terraza",Ciudad de México,150.000 MXN,https://www.properstar.es/listing/71056097,Casa independiente,7 habitación/es,7 Habit.,7 Baño.,925 m²
48,"La mejor casa del poniente, Aprovecha Oportunidad Fracc. Cerrado",Ciudad de México,80.000 MXN,https://www.properstar.es/listing/74364479,Casa independiente,3 habitación/es,3 Habit.,3 Baño.,800 m²
49,"Departamento en RENTA con amplia terraza, amenidades, 3 recamaras 2.5 baños 2 estacionamientos cerca de hospitales, universidades, estadio azteca, seguridad.",Ciudad de México,28.000 MXN,https://www.properstar.es/listing/79114366,Piso,3 habitación/es,3 Habit.,2 Baño.,145 m²
50,"Departamento en Renta Semiamueblado en Parque Reforma $95,000 y sin amueblar 86,000 con mantenimiento incluido .",Ciudad de México,86.000 MXN,https://www.properstar.es/listing/70443224,Piso,4 habitación/es,3 Habit.,3 Baño.,330 m²
51,"ILUMINADO, CERCA DE TODOS LOS CORPORATIVOS DE SANTA FE",Ciudad de México,18.540 MXN,https://www.properstar.es/listing/80398177,Piso,1 habitación/es,1 Habit.,1 Baño.,72 m²
52,MODERNO DEPARTAMENTO EN RENTA CON GRAN UBICACIÓN,Ciudad de México,16.500 MXN,https://www.properstar.es/listing/81875656,Piso,2 habitación/es,2 Habit.,2 Baño.,70 m²
53,"Departamento con balcón y Roof garden en Nonoalco, excelente ubicación. Sin amueblar",Ciudad de México,20.000 MXN,https://www.properstar.es/listing/81903290,Piso,2 habitación/es,2 Habit.,2 Baño.,63.35 m²
54,Perfecto departamento,Ciudad de México,14.000 MXN,https://www.properstar.es/listing/81113687,Piso,5 habitación/es,2 Habit.,1 Baño.,71 m²
55,Vive en residencial Polarea Nuevo Polanco,Ciudad de México,17.500 MXN,https://www.properstar.es/listing/74375499,Piso,1 habitación/es,1 Habit.,1 Baño.,52 m²
56,"RENTA AMUEBLADO GARDEN DE LUJO, V SECCION POLANCO, $5000 Dlls, 2 TERRAZAS Y BALCÓN, 167 M2, 2 REC., SALA TV, 2 ESTACIONAMIENTOS","Ciudad de México, 415 EMERSON",100.187 MXN,https://www.properstar.es/listing/73357980,Piso,10 habitación/es,2 Habit.,3 Baño.,167 m²
57,"Casa en Renta, con uso de suelo para Oficinas en Anzures, sobre Thiers",Ciudad de México,80.000 MXN,https://www.properstar.es/listing/81876970,Casa independiente,4 habitación/es,4 Habit.,4 Baño.,320 m²
58,Increible Depto en Renta en la Mejor colonia San Jose Insurgentes Guadalupe Inn,Ciudad de México,15.500 MXN,https://www.properstar.es/listing/79657498,Piso,2 habitación/es,2 Habit.,1 Baño.,85 m²
59,Departamento en Renta en Colonia Granada,"Ciudad de México, 35 Lago Margarita",17.000 MXN,https://www.properstar.es/listing/79058774,Piso,2 habitación/es,2 Habit.,1 Baño.,98 m²
60,"DEPARTAMENTO EN RENTA EN POLANCO ""MUY EXCLUSIVO Y LUJOSO EN EL CORAZÓN DE POLANCO"" PARA ESTRENAR POR REMODELACION AL 100","Ciudad de México, Galileo",100.000 MXN,https://www.properstar.es/listing/81835285,Piso,4 habitación/es,4 Habit.,5 Baño.,271.78 m²
61,Espectacular Departamento en Renta Super Vista Super Ubicación De Revista,Ciudad de México,75.000 MXN,https://www.properstar.es/listing/74408438,Piso,2 habitación/es,2 Habit.,2 Baño.,365 m²
62,RENTA ESPECTACULAR DEPARTAMENTO AMUEBLADO EN POLANCO ARQUIMEDES ESQ. RUBEN DARIO,Ciudad de México,85.000 MXN,https://www.properstar.es/listing/81835149,Piso,10 habitación/es,3 Habit.,3 Baño.,320 m²
63,Renta departamento Latitud Polanco,"Ciudad de México, 453 Lago Estefanía",18.000 MXN,https://www.properstar.es/listing/81046891,Piso,4 habitación/es,1 Habit.,1 Baño.,55 m²
64,"VIVE CON LUJO, DEPARTAMENTO EN RESIDENCIAL BOULEVARD REFORMA II ESTA EXCLUSIVA ZONA DE SANTA FE, TE ESTA ESPERANDO","Ciudad de México, 3007 Constituyente C. Echanove",55.000 MXN,https://www.properstar.es/listing/80342707,Piso,12 habitación/es,3 Habit.,4 Baño.,380 m²
65,"Departamento Con o Sin Muebles Versalles, Juarez","Ciudad de México, 85 Versalles",20.000 MXN,https://www.properstar.es/listing/81144861,Piso,9 habitación/es,2 Habit.,1 Baño.,87 m²
66,DEPARTAMENTO EN RENTA MIGUEL HIDALGO ALVARO OBREGON,Ciudad de México,17.000 MXN,https://www.properstar.es/listing/81835316,Piso,6 habitación/es,2 Habit.,2 Baño.,76.2 m²
67,Departamento amueblado en renta con balcón. Cosmocrat Santa Fe,"Ciudad de México, 307 prolongacion paseo de la reforma",19.500 MXN,https://www.properstar.es/listing/79140723,Piso,9 habitación/es,2 Habit.,2 Baño.,81 m²
68,“PRECIOSO DEPARTAMENTO AMUEBLADO EN RENTA EN POLANCO III SECCIÓN”,"Ciudad de México, Av. Homero",80.000 MXN,https://www.properstar.es/listing/75950802,Piso,3 habitación/es,3 Habit.,3 Baño.,300 m²
69,"Departamento en Renta Colonia Juarez, Cuauhtemoc, CDMX.",Ciudad de México,90.000 MXN,https://www.properstar.es/listing/78251096,Piso,5 habitación/es,2 Habit.,2 Baño.,270 m²
70,RENTA DE PENTHOUSE 2 NIVELES EN LINDAVISTA PERNAMBUCO SEMI AMUEBLADO,Ciudad de México,45.000 MXN,https://www.properstar.es/listing/81046890,Piso,4 habitación/es,4 Habit.,3 Baño.,420 m²
71,Loft con terraza en A.V. Prolongación Santa Fé Blum,Ciudad de México,16.500 MXN,https://www.properstar.es/listing/79005659,Piso,5 habitación/es,1 Habit.,1 Baño.,51 m²
72,"Renta Casa Lomas de Chapultepec Zona de Reforma, Bosques de las Lomas, Santa Fe 1000 m2 Entrega Inmediata",Ciudad de México,155.000 MXN,https://www.properstar.es/listing/74375493,Casa independiente,20 habitación/es,4 Habit.,3 Baño.,1200 m²
73,"Departamento en Río Niagara, nuevo al mercado con extraordinaria ubicación y en perfecto estado,",Ciudad de México,18.000 MXN,https://www.properstar.es/listing/81876969,Piso,2 habitación/es,2 Habit.,1 Baño.,79 m²
74,DEPARTAMENTO EN RENTA EN COLONIA ANÁHUAC IDEAL PARA ESTUDIANTES,"Ciudad de México, 34 LAGO ONEGA",6000 MXN,https://www.properstar.es/listing/81084489,Piso,2 habitación/es,2 Habit.,1 Baño.,55 m²
75,"RENTA DE CASA EN SAN JERÓNIMO CON JARDÍN $16,000 CON MANTENIMIENTO INCLUIDO",Ciudad de México,16.000 MXN,https://www.properstar.es/listing/81835311,Casa con terraza,2 habitación/es,2 Habit.,1 Baño.,110 m²
76,DEPARTAMENTO EN RENTA EN SANTA FE JAVIER BARROS SIERRA,Ciudad de México,23.500 MXN,https://www.properstar.es/listing/80342471,Piso,2 habitación/es,2 Habit.,2 Baño.,110 m²
77,Casa en renta cerca TEC de Monterrey y zona de Hospitales,"Ciudad de México, 30 Rincón",40.000 MXN,https://www.properstar.es/listing/81865186,Casa independiente,3 habitación/es,3 Habit.,3 Baño.,450 m²
78,"Local Comercial, 150 m2, Secretaría de Marina, Lomas del Chamizal, $50,000 (con opción de rentar la mitad del piso)",Ciudad de México,50.000 MXN,https://www.properstar.es/listing/70397694,Piso,6 habitación/es,,2 Baño.,150 m²
79,"Renta de Casa en Lomas de Vista Hermosa, Cuajimalpa. En privada",Ciudad de México,59.000 MXN,https://www.properstar.es/listing/70397501,Casa independiente,4 habitación/es,4 Habit.,4 Baño.,600 m²
80,Departamento en Renta en calle Sara - Venustiano Carranza,Ciudad de México,14.500 MXN,https://www.properstar.es/listing/81903335,Piso,2 habitación/es,2 Habit.,2 Baño.,78 m²
81,DEPARTAMENTO EN RENTA EN CALZADA DESIERTO DE LOS LEONES,Ciudad de México,12.000 MXN,https://www.properstar.es/listing/81876556,Piso,3 habitación/es,2 Habit.,3 Baño.,100 m²
82,Casa en Renta Colonia Santa Ursula Xitla Tlalpan CDMX,Ciudad de México,28.000 MXN,https://www.properstar.es/listing/79140722,Casa independiente,3 habitación/es,3 Habit.,4 Baño.,306 m²
83,"Renta Departamento Colonia Roma Norte,",Ciudad de México,17.500 MXN,https://www.properstar.es/listing/79657555,Piso,3 habitación/es,3 Habit.,1 Baño.,80 m²
84,AMPLIA Y CÓMODA CASA EN RENTA ! VISTA ESPECTACULAR A LA TRANQUILIDAD DEL BOSQUE,Ciudad de México,20.000 MXN,https://www.properstar.es/listing/79005651,Piso,9 habitación/es,3 Habit.,2 Baño.,100.95 m²
85,Muy Barato Extraordinario departamento en super desarrollo con amenidades,Ciudad de México,13.000 MXN,https://www.properstar.es/listing/79657496,Piso,1 habitación/es,1 Habit.,1 Baño.,55 m²
86,SE RENTA DEPARTAMENTO EN WE SANTA FE a estrenar.,Ciudad de México,28.000 MXN,https://www.properstar.es/listing/79114392,Piso,2 habitación/es,2 Habit.,,101 m²
87,Departamento de Lujo con Domótica en Renta Torre Barcelona City Santa Fe,Ciudad de México,37.000 MXN,https://www.properstar.es/listing/73875729,Piso,2 habitación/es,2 Habit.,2 Baño.,105 m²
88,CASA EN RENTA- CABRIO-LOMAS SAN ANGEL INN -TELEVISA - SAN ANGEL,Ciudad de México,35.500 MXN,https://www.properstar.es/listing/80856259,Casa con terraza,4 habitación/es,4 Habit.,3 Baño.,294 m²
89,DEPARTAMENTO EN RENTA DE 140M2 EN PRIMER NIVEL EXTERIOR UBICADO EN LA COLONIA ESCANDÓN,Ciudad de México,18.500 MXN,https://www.properstar.es/listing/78811760,Piso,2 habitación/es,2 Habit.,2 Baño.,140 m²
90,Renta Departamento Benito Juárez Cerca de Vértiz Narvarte,Ciudad de México,12.500 MXN,https://www.properstar.es/listing/81600259,Piso,2 habitación/es,2 Habit.,,73 m²
91,"RENTA DEPARTAMENTO A ESTRENAR 68 MTS LOMAS DE CHAMIZAL $14,000.00",Ciudad de México,14.000 MXN,https://www.properstar.es/listing/77520973,Piso,2 habitación/es,2 Habit.,1 Baño.,68 m²
92,DEPARTAMENTO EN RENTA ACACIAS DEL VALLE,Ciudad de México,21.600 MXN,https://www.properstar.es/listing/80263242,Piso,3 habitación/es,3 Habit.,3 Baño.,198 m²
93,AMPLIO DEPARTAMENTO NUEVO EN RENTA EN PLANTA BAJA A UNA CUADRA DE DIVISIÓN DEL NORTE Y LA ALBERCA OLIMPICA LISTO PARA ESTRENAR,"Ciudad de México, 1005 BIS SEVILLA",13.000 MXN,https://www.properstar.es/listing/80856260,Piso,2 habitación/es,2 Habit.,1 Baño.,60 m²
94,"Super Departamento en Renta Narvarte, como nuevo",Ciudad de México,16.500 MXN,https://www.properstar.es/listing/78811678,Piso,2 habitación/es,2 Habit.,2 Baño.,75 m²
95,Departamento en Renta - Tepeyac Insurgentes,"Ciudad de México, 3 Atepoxco",10.800 MXN,https://www.properstar.es/listing/80805648,Piso,3 habitación/es,3 Habit.,1 Baño.,76 m²
96,"Departamento PH en Renta en Lomas del Chamizal, $17,000, balcón, 3 recámaras, 3 baños, elevador, roof garden con asadores","Ciudad de México, 5 Cañoneros de Guanajuato",17.000 MXN,https://www.properstar.es/listing/81600331,Piso,8 habitación/es,3 Habit.,3 Baño.,79 m²
97,Eje 8 - Av Popocatepetl - Departamento 3 recámaras,"Ciudad de México, 243 Eje 8 Sur Av Popocatepetl",21.500 MXN,https://www.properstar.es/listing/80900588,Piso,3 habitación/es,3 Habit.,2 Baño.,109 m²
98,EXELENTEN DEPTO B GRAND EN RENTA,Ciudad de México,22.000 MXN,https://www.properstar.es/listing/81727887,Piso,,,,
99,Hermoso Departamento en el mejor desarrollo de Santa Fe,Ciudad de México,65.000 MXN,https://www.properstar.es/listing/74302437,Piso,3 habitación/es,3 Habit.,3 Baño.,375 m²
100,Renta de Agradable Departamento Exterior en Benito Juárez,"Ciudad de México, 40 Hamburgo",21.500 MXN,https://www.properstar.es/listing/80231898,Piso,4 habitación/es,3 Habit.,3 Baño.,126 m²
101,Departamento AMUEBLADO en RENTA. cerca de metro Centro Médico Siglo XXI. Benito Juárez,Ciudad de México,23.500 MXN,https://www.properstar.es/listing/78856855,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
102,"RENTA DEPARTAMENTO A ESTRENAR 72 MTS LOMAS DE CHAMIZAL $16,000.00",Ciudad de México,16.000 MXN,https://www.properstar.es/listing/77550042,Piso,2 habitación/es,2 Habit.,1 Baño.,72 m²
103,Renta Departamento Cuauhtémoc 2 recámaras. Cerca de San Cosme,Ciudad de México,13.100 MXN,https://www.properstar.es/listing/81600258,Piso,2 habitación/es,2 Habit.,,65 m²
104,Departamento en Renta SIN AMUEBLAR - La Cité Cuajimalpa,"Ciudad de México, Carretera México - Toluca",16.500 MXN,https://www.properstar.es/listing/77459217,Piso,2 habitación/es,2 Habit.,2 Baño.,80 m²
105,Rento Departamento en Residencial Carso Periférico - Miguel Hidalgo,"Ciudad de México, Blvd. Manuel Ávila Camacho",28.500 MXN,https://www.properstar.es/listing/81569643,Piso,3 habitación/es,3 Habit.,2 Baño.,103 m²
106,"DEPARTAMENTO DE DOS HABITACIONES EN RENTA SIN AVAL EN LA COLONIA DEL VALLE, CON COCINA EQUIPADA Y BAÑO, EDIFICIO PET FRIENDLY",Ciudad de México,23.199 MXN,https://www.properstar.es/listing/75194983,Piso,2 habitación/es,2 Habit.,1 Baño.,72 m²
107,"RENTA Departamento en AJUSCO Héroes de Padierna a 2 cuadras de la carretera Picacho-Ajusco cerca de Periférico, a 15 min de Insurgentes y el metrobús.","Ciudad de México, 416 Teya",16.750 MXN,https://www.properstar.es/listing/80900417,Piso,3 habitación/es,3 Habit.,3 Baño.,135 m²
108,"RENTA DEPTO LOMAS DE BEZAREZ 185 MTS $32,000.00 C/MANT INCLUIDO","Ciudad de México, 2742 PROLONGACION PASEO DE LA REFORMA",32.000 MXN,https://www.properstar.es/listing/80805649,Piso,3 habitación/es,3 Habit.,3 Baño.,185 m²
109,RENTA DPTO. DE LUJO 3 HABS. REMODELADO BOSQUES DE TABACHINES,Ciudad de México,35.000 MXN,https://www.properstar.es/listing/81630816,Piso,3 habitación/es,3 Habit.,3 Baño.,287 m²
